org,max_slope,r2,intercept
Ochrobactrum_pure_4NPbutyrate,0.4823990309237359,0.7472466444981004,59.31969298180447
Cory_pure_boiled_control_4NPtrimethylacetate,0.13993086643826128,0.9780433621101768,0.6962752294212758
Gordonia_pure_4NPtrimethylacetate,0.13839316460926931,0.7720588235294119,0.6860238838946635
Ochrobactrum_pure_4NPtrimethylacetate,0.12279647462949468,0.8439388005887677,-0.009017342809668516
pcdf1_empty_pure_4NPbutyrate,0.12235713124978292,0.9993901096836193,-1.0943419384914692
Gordonia_pure_boiled_control_4NPtrimethylacetate,0.11972107097151079,0.9096175538349249,0.703231499600049
Ochrobactrum_pure_boiled_control_4NPbutyrate,0.11928172759179882,0.9958927938121696,-0.6678127406877593
pcdf1_empty_pure_4NPtrimethylacetate,0.117524354072951,0.5735761211177948,0.19359317913416707
Gordonia_pure_4NPbutyrate,0.11554730886424729,0.9992872793816666,-0.5640544791791214
Gordonia_pure_boiled_control_4NPbutyrate,0.11422927872511125,0.9998767410329101,-0.9366176651748657
pcdf1_empty_pure_boiled_control_4NPbutyrate,0.11225223351640751,0.9998570471297744,-1.0167246080756835
Cory_pure_4NPbutyrate,0.11137354675698366,0.9996266697777518,-0.9046188223525163
Cory_pure_boiled_control_4NPbutyrate,0.11115387506712775,0.999541941024907,-0.9435739353536443
Ochrobactrum_pure_boiled_control_4NPtrimethylacetate,0.09577685677720879,0.9891903142995907,0.7489964349867113
Cory_pure_4NPtrimethylacetate,0.08611130242354541,0.7507523939808491,0.8121154338719979
pcdf1_empty_pure_boiled_control_4NPtrimethylacetate,0.07117362751333857,0.6769442414341605,0.036527920887139013
