org,max_slope,r2,intercept
Lacticaseib_40°C_rep1,6.432948965604396,0.9998723240473677,17.41590940913071
Lacticaseib_50°C_rep1,6.353268047440882,0.9998877975257459,15.962375240696268
Lacticaseib_40°C_rep3,6.182339626219152,0.9999114489516367,16.987945768026645
Lacticaseib_50°C_rep3,6.164989748877095,0.999956573775152,15.710480725211598
Lacticaseib_37°C_rep1,6.112940116850925,0.9999266771159511,18.590774560009404
Lacticaseib_50°C_rep2,5.951650516374779,0.9999604917702197,15.310148370244923
Lacticaseib_40°C_rep2,5.920806289988907,0.9999310119988555,17.02243132669419
Lacticaseib_37°C_rep3,5.815421849837157,0.9999934882346646,18.438695388245716
Lacticaseib_37°C_rep2,5.80257008884304,0.9999914154247648,18.545793396530012
Lacticaseib_60°C_rep1,5.550675573358386,0.9999748582493085,9.787960867090135
Lacticaseib_60°C_rep2,5.096365822216411,0.9999586031685268,9.306662417860514
Lacticaseib_60°C_rep3,4.947285394684676,0.9999801380367085,8.178063606560622
abiotic_control_rep3,0.1375138426370333,0.9983141985176571,-1.6312571682144168
abiotic_control_rep1,0.13173055018968183,0.9992074499702793,-1.5500768779349339
abiotic_control_rep2,0.1317305501896816,0.9992074499702793,-1.5843482405859017
